Event,Link,Date
Rivals League - October Zendikar Rising Weekend @ Magic Arena,https://www.mtgtop8.com/event?e=27893&f=ST,24/10/20
Week of Wings Entry Event Friday Flight 1 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27834&f=ST,23/10/20
Week of Wings Entry Event Friday Flight 3 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27840&f=ST,23/10/20
FNM @ Gamer's Gauntlet,https://www.mtgtop8.com/event?e=27843&f=ST,23/10/20
Torneios @ Loja Ludo Quest,https://www.mtgtop8.com/event?e=27845&f=ST,23/10/20
FNM at Home @ Owl Central Games,https://www.mtgtop8.com/event?e=27846&f=ST,23/10/20
FNM @ Game On,https://www.mtgtop8.com/event?e=27848&f=ST,23/10/20
OMEN FNAC Challenge MTGA #3 - Qualificador #2 @ Going Hyped,https://www.mtgtop8.com/event?e=27853&f=ST,23/10/20
Week of Wings Entry Event Thursday Flight 1 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27811&f=ST,22/10/20
Week of Wings Entry Event Thursday Flight 2 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27822&f=ST,22/10/20
Week of Wings Entry Event Thursday Flight 3 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27823&f=ST,22/10/20
Artisan ! @ Lotus eSports,https://www.mtgtop8.com/event?e=27828&f=ST,22/10/20
MTGO Standard League,https://www.mtgtop8.com/event?e=27839&f=ST,22/10/20
Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27814&f=ST,21/10/20
Week of Wings Entry Event Tuesday Flight 2 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27786&f=ST,20/10/20
Week of Wings Entry Event Tuesday Flight 3 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27787&f=ST,20/10/20
Week of Wings Entry Event Tuesday Flight 1 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27788&f=ST,20/10/20
Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27792&f=ST,20/10/20
Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27805&f=ST,20/10/20
Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27808&f=ST,20/10/20
Week of Wings Entry Event Monday Flight 1 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27778&f=ST,19/10/20
Week of Wings Entry Event Monday Flight 2 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27785&f=ST,19/10/20
Week of Wings Entry Event Monday Flight 3 @ Red Bull Untapped,https://www.mtgtop8.com/event?e=27791&f=ST,19/10/20
Weekly Event @ The Mythic Society,https://www.mtgtop8.com/event?e=27801&f=ST,19/10/20
Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27802&f=ST,19/10/20
Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27803&f=ST,19/10/20
Daily Tournaments @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27807&f=ST,19/10/20
MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27827&f=ST,19/10/20
The Bash Bros Battles #2 - Sponsored by BCW Supplies @ The Bash Bros Podcast,https://www.mtgtop8.com/event?e=27756&f=ST,18/10/20
"Thailand Magic Community 2020 @ The Tricker (Nonthaburi, Thailand)",https://www.mtgtop8.com/event?e=27761&f=ST,18/10/20
Tokai King Cup 11th @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27774&f=ST,18/10/20
MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27779&f=ST,18/10/20
God of Standard Trial @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27798&f=ST,18/10/20
Cobram Cup - 3^ Tappa @ Mind's Desire,https://www.mtgtop8.com/event?e=27804&f=ST,18/10/20
5th Kamui Decision Battle Trial @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27824&f=ST,18/10/20
CFB Pro Showdown October @ Channelfireball,https://www.mtgtop8.com/event?e=27748&f=ST,17/10/20
KOS Online Tournament 12th @ Big Magic,https://www.mtgtop8.com/event?e=27750&f=ST,17/10/20
"Planeswalker Championship @ Hareruya (Akihabara, Japan)",https://www.mtgtop8.com/event?e=27752&f=ST,17/10/20
Artisan Artists 7 @ Hello Good Game,https://www.mtgtop8.com/event?e=27754&f=ST,17/10/20
Planeswalker Diaries $500 Patreon Tournament @Jason Fleurant,https://www.mtgtop8.com/event?e=27755&f=ST,17/10/20
FNM @ Ludo Quest,https://www.mtgtop8.com/event?e=27736&f=ST,16/10/20
FNM @ Enschede,https://www.mtgtop8.com/event?e=27737&f=ST,16/10/20
FNM @ Deckmaster Games,https://www.mtgtop8.com/event?e=27735&f=ST,16/10/20
Friday Night Magic @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27806&f=ST,16/10/20
Artisan ! @ Lotus eSports,https://www.mtgtop8.com/event?e=27730&f=ST,15/10/20
Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27716&f=ST,14/10/20
Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27694&f=ST,13/10/20
Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27712&f=ST,13/10/20
Tuesday Night Event @ Misty Mountain Games,https://www.mtgtop8.com/event?e=27721&f=ST,13/10/20
Weekly @ The Mythic Society,https://www.mtgtop8.com/event?e=27698&f=ST,12/10/20
Monday Night Magic 2 @ Plague League,https://www.mtgtop8.com/event?e=27699&f=ST,12/10/20
Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27704&f=ST,12/10/20
Daily Tournaments @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27708&f=ST,12/10/20
MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27709&f=ST,12/10/20
"Ban-cho Decisive battle @ Hareruya (Shizuoka, Japan)",https://www.mtgtop8.com/event?e=27677&f=ST,11/10/20
ONDraw #2 @ Ace Tournaments,https://www.mtgtop8.com/event?e=27685&f=ST,11/10/20
MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27686&f=ST,11/10/20
"Event @ Damoclès (Poitiers, France)",https://www.mtgtop8.com/event?e=27693&f=ST,11/10/20
FudohMyouou Event @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27697&f=ST,11/10/20
"Planeswalker Championship @ Hareruya (Osaka, Japan)",https://www.mtgtop8.com/event?e=27705&f=ST,11/10/20
ONDraw #1 @ Ace Tournaments,https://www.mtgtop8.com/event?e=27668&f=ST,10/10/20
Win a Zendikar Rising box @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27676&f=ST,10/10/20
Win an Expedition Overgrown Tomb @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27678&f=ST,10/10/20
CFB Clash Qualifier Magic Arena,https://www.mtgtop8.com/event?e=27688&f=ST,10/10/20
Event @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27690&f=ST,10/10/20
2020 Season Grand Finals,https://www.mtgtop8.com/event?e=27653&f=ST,09/10/20
Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27658&f=ST,09/10/20
Copa de Veneno #5 @ Poison Nation,https://www.mtgtop8.com/event?e=27659&f=ST,09/10/20
FNM @ Ludo Quest,https://www.mtgtop8.com/event?e=27660&f=ST,09/10/20
Free Daily @ Owl Central Games,https://www.mtgtop8.com/event?e=27634&f=ST,07/10/20
Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27616&f=ST,06/10/20
Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27621&f=ST,06/10/20
Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27633&f=ST,06/10/20
Tuesday Night Standard @ Misty Mountain Games,https://www.mtgtop8.com/event?e=27639&f=ST,06/10/20
Weekly @ The Mythic Society,https://www.mtgtop8.com/event?e=27622&f=ST,05/10/20
Monday Night Magic 2 @ Plague League,https://www.mtgtop8.com/event?e=27623&f=ST,05/10/20
MTGO Standard League,https://www.mtgtop8.com/event?e=27637&f=ST,05/10/20
Daily Tournaments @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27680&f=ST,05/10/20
The DWC Organizational VI @ The Disorganized Wizards Club,https://www.mtgtop8.com/event?e=27586&f=ST,04/10/20
Gentry ! @The Jankyard,https://www.mtgtop8.com/event?e=27592&f=ST,04/10/20
MTGO Standard Showcase Challenge,https://www.mtgtop8.com/event?e=27611&f=ST,04/10/20
Tin Street Tournament Series #2 @ Tin Street Tavern,https://www.mtgtop8.com/event?e=27581&f=ST,03/10/20
Red Bull Untapped Online Qualifier @ France,https://www.mtgtop8.com/event?e=27583&f=ST,03/10/20
CFB Clash Qualifier 1 @ Channelfireball,https://www.mtgtop8.com/event?e=27605&f=ST,03/10/20
Event @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27607&f=ST,03/10/20
FNM @ Deckmaster Games,https://www.mtgtop8.com/event?e=27568&f=ST,02/10/20
FNM @ Ludo Quest,https://www.mtgtop8.com/event?e=27569&f=ST,02/10/20
GameDay @ GameForce (Eindhoven),https://www.mtgtop8.com/event?e=27617&f=ST,02/10/20
Friday Night Magic @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27620&f=ST,02/10/20
MTGO Standard Preliminary,https://www.mtgtop8.com/event?e=27577&f=ST,01/10/20
Portland MtG Arena Tournament @ Mox Boarding House,https://www.mtgtop8.com/event?e=27547&f=ST,30/09/20
Tuesday Night Standard @ Misty Mountain Games,https://www.mtgtop8.com/event?e=27544&f=ST,29/09/20
Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27546&f=ST,29/09/20
Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27551&f=ST,29/09/20
Weekly Event @ The Mythic Society,https://www.mtgtop8.com/event?e=27537&f=ST,28/09/20
Plague League Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27539&f=ST,28/09/20
MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27543&f=ST,28/09/20
Daily Tournaments @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27552&f=ST,28/09/20
Comic Con Africa 2020,https://www.mtgtop8.com/event?e=27489&f=ST,27/09/20
"Event @ Hareruya (Narita, Japan)",https://www.mtgtop8.com/event?e=27490&f=ST,27/09/20
Red Bull Untapped Online Qualifier @ Germany,https://www.mtgtop8.com/event?e=27515&f=ST,27/09/20
Last Weekly Challenge @ Equalssport,https://www.mtgtop8.com/event?e=27520&f=ST,27/09/20
"Arena Community Cup 1,5 k$ @ The Mythic Society",https://www.mtgtop8.com/event?e=27521&f=ST,27/09/20
"""Zendikar Rising"" Season First Feast @ Hareruya (Akihabara, Japan)",https://www.mtgtop8.com/event?e=27522&f=ST,27/09/20
SCG Tour Online Season Two Championship @ Star City Games,https://www.mtgtop8.com/event?e=27523&f=ST,27/09/20
"Event @ Hareruya (Nagoya, Japan)",https://www.mtgtop8.com/event?e=27540&f=ST,27/09/20
SCG Tour Online Championship Qualifier @ Star City Game,https://www.mtgtop8.com/event?e=27511&f=ST,26/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27493&f=ST,26/09/20
TGS Open Series @ The Gaming Stadium,https://www.mtgtop8.com/event?e=27494&f=ST,26/09/20
Red Bull Untapped Qualifier @ Japan,https://www.mtgtop8.com/event?e=27495&f=ST,26/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27496&f=ST,26/09/20
FTHS League 2020 - FINALS @ Final Turn Hobby Shop,https://www.mtgtop8.com/event?e=27497&f=ST,26/09/20
"Red Bull Untapped 2020 Store Event @ Ollies Spielecenter (Hamburg, Germany)",https://www.mtgtop8.com/event?e=27498&f=ST,26/09/20
"Red Bull Untapped 2020 Store Event @ Spiele-Pyramide (Karlsruhe, Germany)",https://www.mtgtop8.com/event?e=27500&f=ST,26/09/20
"Red Bull Untapped 2020 Store Event @ Auenland (Dortmund, Germany)",https://www.mtgtop8.com/event?e=27501&f=ST,26/09/20
"Red Bull Untapped 2020 Store Event @ Funtainment (Berlin, Germany)",https://www.mtgtop8.com/event?e=27503&f=ST,26/09/20
"Red Bull Untapped 2020 Store Event @ Funtainment (München, Germany)",https://www.mtgtop8.com/event?e=27504&f=ST,26/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27470&f=ST,25/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27471&f=ST,25/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27472&f=ST,25/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27474&f=ST,25/09/20
Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27476&f=ST,25/09/20
FNM @ Ludo Quest,https://www.mtgtop8.com/event?e=27508&f=ST,25/09/20
Free FNM @ Equalssport,https://www.mtgtop8.com/event?e=27509&f=ST,25/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27510&f=ST,25/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27459&f=ST,24/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27462&f=ST,24/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27464&f=ST,24/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27475&f=ST,24/09/20
20° Torneio @ HG TEAM,https://www.mtgtop8.com/event?e=27477&f=ST,24/09/20
Artisan ! @ Lotus eSports,https://www.mtgtop8.com/event?e=27484&f=ST,24/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27429&f=ST,23/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27453&f=ST,23/09/20
Staff Challenge @ Equalssport,https://www.mtgtop8.com/event?e=27454&f=ST,23/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27457&f=ST,23/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27458&f=ST,23/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27413&f=ST,22/09/20
Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27424&f=ST,22/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27430&f=ST,22/09/20
Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27431&f=ST,22/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27433&f=ST,22/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27434&f=ST,22/09/20
LFM Streamer Showdown,https://www.mtgtop8.com/event?e=27435&f=ST,22/09/20
Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27445&f=ST,22/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27412&f=ST,21/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27414&f=ST,21/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27416&f=ST,21/09/20
Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27418&f=ST,21/09/20
Weekly @ The Mythic Society,https://www.mtgtop8.com/event?e=27419&f=ST,21/09/20
MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27448&f=ST,21/09/20
Daily Tournaments @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27481&f=ST,21/09/20
The Bash Bros Battles @ The Bash Bros Podcast,https://www.mtgtop8.com/event?e=27408&f=ST,20/09/20
PAX Online Preliminary @ Pastimes,https://www.mtgtop8.com/event?e=27383&f=ST,19/09/20
Hooglandia Open 6 @ Hooglandia,https://www.mtgtop8.com/event?e=27390&f=ST,19/09/20
PAX Online Preliminary @ Pastimes,https://www.mtgtop8.com/event?e=27392&f=ST,19/09/20
PAX Online Preliminary @ Pastimes,https://www.mtgtop8.com/event?e=27393&f=ST,19/09/20
Saturday Showdown @ Top Deck Keep,https://www.mtgtop8.com/event?e=27396&f=ST,19/09/20
FTHS League 2020 - Qualifier III @ Final Turn Hobby Shop,https://www.mtgtop8.com/event?e=27398&f=ST,19/09/20
Sims' Free SecretLair Summer Bundle,https://www.mtgtop8.com/event?e=27411&f=ST,19/09/20
Free FNM @ Equalssports,https://www.mtgtop8.com/event?e=27381&f=ST,18/09/20
PAX Online Preliminary @ Pastimes,https://www.mtgtop8.com/event?e=27382&f=ST,18/09/20
FNM @ Ludo Quest,https://www.mtgtop8.com/event?e=27399&f=ST,18/09/20
PAX Online Preliminary @ Pastimes,https://www.mtgtop8.com/event?e=27365&f=ST,17/09/20
Staff Challenge @ Equalssport,https://www.mtgtop8.com/event?e=27362&f=ST,16/09/20
5PM PAX Online Preliminary @ Pastimes,https://www.mtgtop8.com/event?e=27340&f=ST,15/09/20
Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27346&f=ST,15/09/20
Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27350&f=ST,15/09/20
Weekly Event @ The Mythic Society,https://www.mtgtop8.com/event?e=27348&f=ST,14/09/20
Monday Night Magic Season @ Plague League,https://www.mtgtop8.com/event?e=27349&f=ST,14/09/20
MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27379&f=ST,14/09/20
Daily Tournaments @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27386&f=ST,14/09/20
Event @ Malchijah Harding,https://www.mtgtop8.com/event?e=27317&f=ST,13/09/20
Weekly Challenge @ Equalssport,https://www.mtgtop8.com/event?e=27321&f=ST,13/09/20
Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27324&f=ST,13/09/20
Sunday 10AM PAX Online Event @ Pastimes,https://www.mtgtop8.com/event?e=27326&f=ST,13/09/20
MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27329&f=ST,13/09/20
Event @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27367&f=ST,13/09/20
"Planeswalker Championship @ Hareruya Tournament Center (Osaka, Japan)",https://www.mtgtop8.com/event?e=27423&f=ST,13/09/20
Season Masters Core Set 2021 @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27343&f=ST,12/09/20
Dealers at Home! @ MagicDealers,https://www.mtgtop8.com/event?e=27302&f=ST,11/09/20
FNM @ altermundi,https://www.mtgtop8.com/event?e=27303&f=ST,11/09/20
Free FNM @ Equalssport,https://www.mtgtop8.com/event?e=27305&f=ST,11/09/20
FNM @ Lotus eSports,https://www.mtgtop8.com/event?e=27307&f=ST,11/09/20
Event @ Back to Games,https://www.mtgtop8.com/event?e=27295&f=ST,10/09/20
Staff Challenge @ Equalssport,https://www.mtgtop8.com/event?e=27245&f=ST,09/09/20
Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27220&f=ST,08/09/20
Event @ Lotus eSports,https://www.mtgtop8.com/event?e=27238&f=ST,08/09/20
Gentry ! @ The Gentry Magic League,https://www.mtgtop8.com/event?e=27240&f=ST,08/09/20
Weekly @ The Mythic Society,https://www.mtgtop8.com/event?e=27221&f=ST,07/09/20
Monday Night Magic @ Plague League,https://www.mtgtop8.com/event?e=27222&f=ST,07/09/20
MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27258&f=ST,07/09/20
Daily Tournaments @ Hareruya (Japan),https://www.mtgtop8.com/event?e=27308&f=ST,07/09/20
Road to Red Bull Untapped @ Arena Porto,https://www.mtgtop8.com/event?e=27223&f=ST,06/09/20
Staff Challenge @ Equalssport,https://www.mtgtop8.com/event?e=27224&f=ST,06/09/20
Event @ Malchijah Harding,https://www.mtgtop8.com/event?e=27225&f=ST,06/09/20
MTGO Standard Challenge,https://www.mtgtop8.com/event?e=27231&f=ST,06/09/20
Event @ Malchijah Harding,https://www.mtgtop8.com/event?e=27239&f=ST,06/09/20
"Planeswalker Championship @ TC (Tokyo, Japan)",https://www.mtgtop8.com/event?e=27229&f=ST,05/09/20
"PlanesWalker Championship @ Hareruya (Nagoya, Japan)",https://www.mtgtop8.com/event?e=27246&f=ST,05/09/20
Free FNM @ Equalssport,https://www.mtgtop8.com/event?e=27190&f=ST,04/09/20
Dealers at Home! @ MagicDealers,https://www.mtgtop8.com/event?e=27193&f=ST,04/09/20
FNM @ Lotus eSports,https://www.mtgtop8.com/event?e=27194&f=ST,04/09/20
SCG Tour Online - Challenge @ Star City Games,https://www.mtgtop8.com/event?e=27172&f=ST,03/09/20
Free Open @ UGCardshop,https://www.mtgtop8.com/event?e=27187&f=ST,03/09/20
